id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CD207	353.383139025227	3.28838221761236	0.503352962143632	6.53295493406477	6.44845521745280e-11	8.08055923299011e-07
DIO1	111.74364416838	3.23978324787144	0.545835490917559	5.93545729762882	2.93027587592972e-09	2.44795246675169e-05
PRR32	13.5770021704008	3.01892211851953	0.540908047909794	5.58121131712759	2.38849234007716e-08	0.000119720790054027
RRAD	2053.22861017738	2.61877327281464	0.370033626213175	7.07712242158764	1.47178509685406e-12	3.68858780973565e-08
MYRFL	39.0299937449743	2.60905344917012	0.537770744772414	4.85160911881563	1.22463800875475e-06	0.00216502857303877
KRT20	23.2836669051135	2.60481754077556	0.599532505259117	4.34474781254731	1.39435756508514e-05	0.0081268347200381
CD1A	301.825737248857	2.5024830482847	0.479762382491685	5.21608850466318	1.82740886497651e-07	0.000572481512175516
FEZF1	69.1310528139912	2.39145145563486	0.526339756449732	4.54355086487421	5.53144501463724e-06	0.00495103839131566
AC007686.1	6.50905812101172	2.37523876896382	0.564507054183852	4.20763345889073	2.58058999583323e-05	0.0129349492951145
AC024145.1	14.5009327905532	2.36526632102243	0.493940503543987	4.78856523012755	1.67977963774586e-06	0.00216502857303877
AC011700.1	2.02105331966702	2.34640811523243	0.587217326567158	3.99580872204404	6.44737763447784e-05	0.0230834540393262
AL355916.1	214.031298270152	2.30925386267614	0.562790705209575	4.10321961841251	4.07440148737155e-05	0.0176056293235355
AC016705.2	72.0933779046286	2.27609169871943	0.481810112813662	4.72404301650617	2.31201478846777e-06	0.00263380521038997
PLA1A	555.559495967346	2.27167868298593	0.442534430789626	5.13333771325434	2.84648479756638e-07	0.000792651133295652
PIGR	30715.394377806	2.25638639434381	0.563804696292045	4.00207094616862	6.27904632409086e-05	0.0230834540393262
MT-TT	12.8746516325663	2.22647893059362	0.525809079293813	4.23438662106004	2.29176372741628e-05	0.0119658713617722
FCER1A	183.811467770734	2.22345111371661	0.462534602334632	4.80710222001511	1.53133703019198e-06	0.00216502857303877
RN7SKP51	7.76432070989565	2.1898375850888	0.550665837100593	3.97670862717559	6.9875696332874e-05	0.0243225652985346
SLCO4C1	739.597866100535	2.16367797031725	0.519809458476622	4.16244440156635	3.1485882000901e-05	0.0150831079804794
MDM2	8043.57009364471	2.15262755952948	0.401618305496752	5.35988407417573	8.32753716450041e-08	0.000347841227361182
ENSG00000278350	24.9659071531932	2.15225321188769	0.514690640300919	4.18164435752971	2.89408410613212e-05	0.0142218697780163
SCTR	592.630630949521	2.13416345037109	0.565627769073743	3.77308818105931	0.000161239266607574	0.0385537950295226
SERPINI2	18.6196192684112	2.11321869666228	0.541297674185545	3.90398628599669	9.46211448288093e-05	0.0292764831074027
TDRD10	112.094932035933	2.07105146110163	0.51745997423866	4.00234136784932	6.27187181500973e-05	0.0230834540393262
CD1E	141.935453924283	2.06830089481946	0.426838287473622	4.84563113365802	1.26209816013577e-06	0.00216502857303877
AL049629.1	5.98355860408287	2.05140192235373	0.56063323721162	3.65908010120241	0.000253122220054801	0.0478384649582043
NRAP	7.90404695805193	2.03105752341919	0.499488316600191	4.06627633904183	4.77702877631365e-05	0.0193099830954795
HHLA2	1474.38635774437	2.0203775030137	0.589504100288267	3.42724927956521	0.000609729064072554	0.07987853475134
REN	35.3765428727212	2.01414527233146	0.518604073221945	3.88378220752901	0.0001028440371819	0.030323261880621
AP001372.1	6.50974045415655	1.99649460521517	0.5300571046685	3.76656512596654	0.000165508924432283	0.0387662118142232
LPCAT1	41064.4136279681	1.99420046856329	0.456259484875222	4.37075947935344	1.23815120436521e-05	0.00745901892131227
RN7SL8P	6.46212181703736	1.98083569998722	0.531687494108468	3.72556383578041	0.000194879125089821	0.0428426371315886
TRIM9	90.8419430153466	1.97474184082798	0.441476249757298	4.47304207624668	7.71145960238402e-06	0.00583057394329525
SULT1C2P1	9.05930138769246	1.97454185317836	0.58097565775734	3.39866537747969	0.000677155099068989	0.082329043817715
SELE	116.688288064511	1.97090583373418	0.446827290448266	4.4108895671008	1.02946814343513e-05	0.00716681405854753
DMRT2	27.3499181516845	1.9674243107449	0.53359710406508	3.68709705460648	0.000226826863047658	0.0465110902688313
HABP2	473.413950686975	1.96492318065872	0.556709761802927	3.5295288774805	0.000416300269222926	0.0651149669423989
SLC35E3	1494.17272768389	1.9635041067824	0.410980619534918	4.77760754023969	1.7739318220513e-06	0.00216502857303877
AC136475.7	4.72818012972743	1.93313898076832	0.561416413428637	3.44332465978757	0.000574609060733929	0.0761949856090674
CCT2	13107.033822018	1.91479692375622	0.446916455313055	4.28446279163059	1.83181260601576e-05	0.0102019750071037
FOSB	6107.3083358184	1.91447744688004	0.543169092059982	3.52464356839477	0.000424052954314293	0.0651149669423989
PLP1	6.61864992736987	1.91190918348358	0.565434260360825	3.38131117534958	0.000721407958950717	0.0840926803126645
LHFPL3	19.8622761152432	1.88116226174637	0.554515228272479	3.39244472619244	0.000692719066442016	0.082329043817715
