id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
RRAD	2053.22861017738	2.61877327281464	0.370033626213175	7.07712242158764	1.47178509685406e-12	3.68858780973565e-08
CD207	353.383139025227	3.28838221761236	0.503352962143632	6.53295493406477	6.44845521745280e-11	8.08055923299011e-07
DIO1	111.74364416838	3.23978324787144	0.545835490917559	5.93545729762882	2.93027587592972e-09	2.44795246675169e-05
HPDL	82.0590560402747	-2.84374974268874	0.502852672332342	-5.65523442382995	1.55633705110355e-08	9.7512297936893e-05
PRR32	13.5770021704008	3.01892211851953	0.540908047909794	5.58121131712759	2.38849234007716e-08	0.000119720790054027
MDM2	8043.57009364471	2.15262755952948	0.401618305496752	5.35988407417573	8.32753716450041e-08	0.000347841227361182
RCOR2	236.784462362155	-2.69114433899721	0.512302163321154	-5.25304113797032	1.49608103599003e-07	0.000535639756056886
CD1A	301.825737248857	2.5024830482847	0.479762382491685	5.21608850466318	1.82740886497651e-07	0.000572481512175516
PLA1A	555.559495967346	2.27167868298593	0.442534430789626	5.13333771325434	2.84648479756638e-07	0.000792651133295652
DDX43	111.803243326979	-2.65342186681644	0.523052840714944	-5.07295183253295	3.91691672244867e-07	0.000981657668980085
ENSG00000243587	34.7046137409007	-2.17812038838126	0.439985614231931	-4.95043546408566	7.40476091912354e-07	0.00168707380140977
RSPO3	490.644271746156	-2.50179214882361	0.516961634923774	-4.83941549974496	1.30221543453845e-06	0.00216502857303877
CD1E	141.935453924283	2.06830089481946	0.426838287473622	4.84563113365802	1.26209816013577e-06	0.00216502857303877
MYRFL	39.0299937449743	2.60905344917012	0.537770744772414	4.85160911881563	1.22463800875475e-06	0.00216502857303877
SLC35E3	1494.17272768389	1.9635041067824	0.410980619534918	4.77760754023969	1.7739318220513e-06	0.00216502857303877
LRRTM4	15.1007520738098	-2.52177880410932	0.521623459668314	-4.83448119015362	1.33493325972942e-06	0.00216502857303877
FCER1A	183.811467770734	2.22345111371661	0.462534602334632	4.80710222001511	1.53133703019198e-06	0.00216502857303877
OOEP	26.9853175524321	-2.76135180320483	0.575993952947027	-4.79406387701919	1.63436196337006e-06	0.00216502857303877
ERVMER34-1	207.995786707061	-2.10322024556534	0.436693543921112	-4.81623846938593	1.46289682527762e-06	0.00216502857303877
CASC9	135.86298513899	-2.83427461586065	0.593801757694449	-4.77309906738113	1.81412497142343e-06	0.00216502857303877
AC024145.1	14.5009327905532	2.36526632102243	0.493940503543987	4.78856523012755	1.67977963774586e-06	0.00216502857303877
AC016705.2	72.0933779046286	2.27609169871943	0.481810112813662	4.72404301650617	2.31201478846777e-06	0.00263380521038997
HIST1H3E	15.7266916170124	-1.94780097048874	0.417476347769755	-4.66565586504313	3.07634197983142e-06	0.00335214272602326
RNF175	72.5642113365879	1.27533987226292	0.274270730574003	4.64993063457352	3.32046686129324e-06	0.00346739751990547
INHA	181.311598968989	-2.70160546153387	0.589043700539891	-4.58642620073467	4.5089768254038e-06	0.0045201590879308
FEZF1	69.1310528139912	2.39145145563486	0.526339756449732	4.54355086487421	5.53144501463724e-06	0.00495103839131566
BDNF	59.1297135564504	-2.00199523257239	0.439713923260156	-4.55294937610588	5.28990059745501e-06	0.00495103839131566
KRT81	461.639219127894	-2.56716778160221	0.564501843325646	-4.54766943979894	5.42432450218383e-06	0.00495103839131566
CCDC148	59.631566212645	1.4163831172671	0.313392253087958	4.51952179197476	6.19794681420276e-06	0.00535630838129481
CNTD2	179.452679260687	-2.36838457806633	0.527792034919496	-4.48734429731889	7.21164806566368e-06	0.00583026851037623
HIST1H2AD	15.2871471722807	-2.48593154094035	0.553819298276323	-4.4887051583024	7.16573933638903e-06	0.00583026851037623
CPS1	5072.75282140615	-2.6539796629647	0.594876027510144	-4.46139958618427	8.14260984818983e-06	0.00583057394329525
